Symbol	logFC_tum	logFC_norm	delta_logFC
ACOT12	1.71595	0.76995812807882	0.9459918719211801
ACOT13	0.442684615384615	0.884334482758624	-0.441649867374009
ACOT2	-0.215434615384615	1.45767192118226	-1.673106536566875
ACOT4	0.508746153846154	-0.8482157635468	1.356961917392954
ACOT6	1.10268846153846	-1.31553596059113	2.4182244221295903
ACOT7	-0.501084615384617	0.464480295566498	-0.9655649109511151
ACOT8	0.0365461538461531	-0.625544827586208	0.6620909814323611
ACOT9	0.363638461538464	1.46088866995074	-1.097250208412276
ACOX1	0.618446153846154	-0.638252709359607	1.256698863205761
ACOX2	1.94703076923077	1.58823990147783	0.3587908677529401
ACOX3	0.313523076923076	-0.512701970443352	0.826225047366428
ACOXL	0.540988461538464	-0.974000492610837	1.5149889541493011
ACP1	0.433453846153847	0.973967487684721	-0.540513641530874
ACP2	0.427638461538461	0.841382758620687	-0.413744297082226
ACP3	2.68602692307692	-4.94413497536946	7.63016189844638
ACP4	0.852096153846157	-7.28076354679801	8.132859700644167
ACP5	0.23798076923077	-4.4417551724138	4.67973594164457
ACP6	1.09453461538462	-1.17459950738917	2.26913412277379
ACP7	1.22158461538462	-5.09049458128078	6.312079196665399
ACR	1.09757307692308	-5.08498965517241	6.18256273209549
ACRBP	1.95056923076923	-0.3716960591133	2.32226528988253
ACRV1	0.912876923076923	1.93427339901478	-1.0213964759378569
ACSBG1	0.911492307692308	-7.58629950738916	8.497791815081468
ACSBG2	2.89782307692308	-0.417356650246309	3.3151797271693892
ACSF2	-0.47415	-1.89511330049261	1.4209633004926099
ACSF3	-0.16291153846154	-0.205866502463056	0.042954964001515994
ACSL1	0.295734615384615	-1.27650985221675	1.572244467601365
ACSL3	0.594173076923076	0.836056157635471	-0.24188308071239506
ACSL4	1.75642692307692	2.0225315270936	-0.2661046040166801
ACSL5	1.17675769230769	-0.176884729064039	1.3536424213717289
ACSL6	2.40719230769231	-2.77321527093596	5.1804075786282695
ACSM1	2.15393846153846	-8.02511527093595	10.179053732474411
ACSM2A	0.727584615384616	-2.35547881773399	3.083063433118606
ACSM2B	0.453430769230773	-2.72508325123152	3.178514020462293
ACSM3	1.52506923076923	-2.33537339901478	3.8604426297840098
