Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
ADAMTS20	3.84461538461539	7.92249463004902e-05	0.404798029556641	0.0006112340135826	UP	NS	True	False	3.4398173550587487
ADAT2	1.46078461538462	2.58487644759834e-05	0.281935960591134	5.45841317518031e-06	UP	NS	True	False	1.178848654793486
ADD3	2.14721538461538	2.72657069084467e-05	0.890360591133002	5.22489855318873e-41	UP	NS	True	False	1.2568547934823782
ADGRF3	2.12810384615385	0.0004467766628056	-0.297096059113301	0.0085507527657416	UP	NS	True	False	2.425199905267151
ADGRG2	3.04421923076923	9.90202872094749e-05	0.62350541871921	4.96693551846827e-07	UP	NS	True	False	2.4207138120500202
ADNP	1.19695	0.0003063545705691	0.466629556650249	5.31132655890417e-20	UP	NS	True	False	0.730320443349751
AEBP2	1.31545769230769	7.47417157567125e-05	-0.0897182266009846	0.0661524287336232	UP	NS	True	False	1.4051759189086745
AFF4	1.34112307692308	0.000453408660889	0.894715763546793	2.41906087688503e-59	UP	NS	True	False	0.4464073133762869
AGA	1.10092692307692	0.0007453224191842	0.226059605911331	8.71684545881902e-05	UP	NS	True	False	0.8748673171655891
AGER	1.17271538461539	0.000777119825079	-0.607478325123152	3.12588277996997e-25	UP	NS	True	False	1.7801937097385419
AGL	1.57938846153846	0.0004300476392831	0.583366502463053	2.45414914215044e-30	UP	NS	True	False	0.9960219590754069
AGO3	1.28673461538462	0.0002105642946723	0.969708866995073	6.97417771364548e-65	UP	NS	True	False	0.317025748389547
AGO4	1.15419615384615	0.0007055046657795	-0.628833497536945	3.8650746484994395e-30	UP	NS	True	False	1.783029651383095
AHCTF1	1.40147692307692	0.0003280274442654	0.491767487684727	1.60506625451671e-22	UP	NS	True	False	0.909709435392193
AHI1	1.35211923076923	0.000210476106429	0.3235881773399	1.12990824183947e-11	UP	NS	True	False	1.02853105342933
AK3	1.39910384615384	6.67762224118358e-05	0.442953694581284	3.26410305708144e-23	UP	NS	True	False	0.9561501515725561
AK9	1.42883461538461	0.0006559153326015	-0.449293103448277	1.14815790500751e-18	UP	NS	True	False	1.878127718832887
AKAP10	1.59874230769231	1.59243927351621e-05	0.857581773399017	1.17159811915463e-65	UP	NS	True	False	0.741160534293293
