Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
ADAM32	2.58032307692308	0.0044705512911949	2.43078916256158	1.50832320729716e-91	NS	UP	False	True	0.14953391436149976
ADAM33	1.04316153846154	0.0461646355399326	2.52044433497536	9.114272088925649e-77	NS	UP	False	True	-1.4772827965138198
ADAM7			-1.10089655172413	1.5573472507596601e-10	NS	DOWN	False	True	
ADAM8	0.423011538461538	0.311165252569847	-2.01592167487685	3.3228639623191203e-88	NS	DOWN	False	True	2.438933213338388
ADAMDEC1	1.60318461538462	0.0388498023944326	-1.64104285714286	1.10689528439889e-08	NS	DOWN	False	True	3.24422747252748
ADAMTS12	1.10715384615385	0.0095128201222307	4.02641477832512	1.96267713736067e-159	NS	UP	False	True	-2.91926093217127
ADAMTS14	0.70355	0.0929029572375846	-1.24526995073892	1.6042003046742e-18	NS	DOWN	False	True	1.94881995073892
ADAMTS17	0.011176923076923	0.984616792684964	-5.33353497536945	1.49586137468254e-106	NS	DOWN	False	True	5.3447118984463735
ADAMTS18	1.02293076923077	0.318164441549317	-1.30484334975369	1.40792802944839e-06	NS	DOWN	False	True	2.3277741189844603
ADAMTS19	0.493038461538461	0.512959133339442	-2.25637389162562	1.86860979591243e-18	NS	DOWN	False	True	2.749412353164081
ADAMTS2	-0.497742307692308	0.34591266218946	4.71638472906404	1.6574238096791e-211	NS	UP	False	True	-5.214127036756348
ADAMTS6	1.91194230769231	0.0013512686323943	5.36315665024631	1.64908385081219e-172	NS	UP	False	True	-3.451214342554
ADAMTS7	1.2563	0.0015877985722493	3.1017645320197	3.50751472968627e-138	NS	UP	False	True	-1.8454645320197
ADAMTS8	2.63214615384615	0.0045324446399111	-3.31553842364531	6.15280983185129e-82	NS	DOWN	False	True	5.94768457749146
ADAMTS9	1.26943846153846	0.0017665442676681	-1.6061921182266	1.62807987874958e-45	NS	DOWN	False	True	2.87563057976506
ADAMTSL1	1.65675	0.0018494746774952	5.46759852216749	8.07738211754642e-205	NS	UP	False	True	-3.8108485221674906
ADAMTSL2	0.631911538461538	0.217225090984093	-4.47473152709359	2.30006375758422e-99	NS	DOWN	False	True	5.1066430655551285
ADAMTSL3	0.91605	0.143514602689816	-5.08193004926108	3.22380812527248e-118	NS	DOWN	False	True	5.997980049261081
