Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
GATM	2.01528461538462	0.0006704494578559	-7.13486699507389	2.3878077183703998e-231	UP	DOWN	True	True	9.15015161045851
GCGR	3.34046923076924	0.0004580033725235	-9.14910049261082	1.05631734867368e-184	UP	DOWN	True	True	12.489569723380061
GIMAP6	1.29651153846154	0.000844606549735	-7.07047438423645	1.08694529120513e-146	UP	DOWN	True	True	8.366985922697989
GIMAP7	1.44397307692308	0.0008059698213262	-8.31268522167487	1.3311848969733799e-135	UP	DOWN	True	True	9.756658298597952
GIMAP8	1.26806923076923	0.00038102700353	-7.49975960591132	4.6953501352498796e-164	UP	DOWN	True	True	8.76782883668055
GKAP1	2.52488076923077	0.0001708312733172	-1.11076157635468	1.89693563039989e-38	UP	DOWN	True	True	3.6356423455854503
GLCCI1	1.99796153846154	1.39640516769014e-05	-1.57126305418719	5.80712582677364e-94	UP	DOWN	True	True	3.56922459264873
GLOD5	3.55879230769232	3.86154984798298e-05	-3.03106600985221	3.05124202776272e-25	UP	DOWN	True	True	6.589858317544531
GNA14	2.21702307692308	9.35259983879853e-05	-2.85270443349753	2.51100158343161e-72	UP	DOWN	True	True	5.06972751042061
GNG7	1.58821538461539	0.0001970884677963	-1.29492955665025	3.20386567516852e-36	UP	DOWN	True	True	2.88314494126564
GOLGA6L9	2.11932692307692	2.57161083586922e-05	-1.39787536945813	4.50241342857696e-68	UP	DOWN	True	True	3.5172022925350497
GPD1L	1.03888846153846	0.0007526612290026	-1.0032842364532	3.34290307303377e-57	UP	DOWN	True	True	2.04217269799166
GPR155	2.43648461538462	9.86431488611114e-05	-1.26782216748768	2.36094854293709e-74	UP	DOWN	True	True	3.7043067828722998
GPR183	1.71760769230769	0.0002756136599364	-6.82269556650246	8.46083466612969e-126	UP	DOWN	True	True	8.54030325881015
GPR34	2.89271538461539	2.63505642718228e-05	-4.69178275862067	1.95195583904576e-73	UP	DOWN	True	True	7.58449814323606
GPR82	2.46213461538462	9.8233629193037e-05	-4.30466256157635	3.80122577269638e-70	UP	DOWN	True	True	6.766797176960971
GPR83	3.9007576923077	1.80455016978249e-05	-1.4430763546798	2.50777502428679e-15	UP	DOWN	True	True	5.3438340469875
GPRASP1	2.06583846153846	2.60969676293194e-05	-1.52891674876847	2.8414768092347003e-75	UP	DOWN	True	True	3.5947552103069302
GPRIN3	2.09405384615385	0.0003378198111072	-4.06496600985221	1.47037883029826e-97	UP	DOWN	True	True	6.15901985600606
GRIA2	4.13443076923078	0.0003819387560293	-5.31961477832512	3.8452026537442e-69	UP	DOWN	True	True	9.4540455475559
GRIA4	3.39556923076924	0.0001281842459194	-4.22279507389162	1.14070262608031e-73	UP	DOWN	True	True	7.61836430466086
GRIK1	2.66382307692308	0.0001122779318524	-3.59026256157635	4.37638798414761e-68	UP	DOWN	True	True	6.25408563849943
GRIK3	5.39970769230769	2.91202662865511e-06	-5.68692758620689	4.4993998461119497e-125	UP	DOWN	True	True	11.08663527851458
GRIK4	2.74628076923077	0.0001253461344477	-3.9691118226601	2.2952594812072802e-52	UP	DOWN	True	True	6.71539259189087
GRM8	2.63015	0.0005607885621691	-1.66327733990148	9.99736758673563e-08	UP	DOWN	True	True	4.29342733990148
GSAP	2.09925384615385	3.40072599645858e-05	-1.2370197044335	2.6098188005823302e-51	UP	DOWN	True	True	3.33627355058735
GUCY1A1	1.35682307692308	0.000311465993185	-2.18045073891626	3.7649114152478803e-44	UP	DOWN	True	True	3.53727381583934
HBEGF	1.76757307692308	0.0004265003115766	-2.96503399014778	2.08885243611247e-89	UP	DOWN	True	True	4.73260706707086
HCN1	4.24867307692308	4.93360772655733e-05	-3.69329310344828	7.02065554668268e-66	UP	DOWN	True	True	7.9419661803713595
HECA	1.25141538461538	6.78060339594386e-05	-1.42699753694581	6.0982240994807e-119	UP	DOWN	True	True	2.67841292156119
HHATL	6.70448846153846	1.28892720755292e-05	-4.47911773399014	1.81196503043519e-50	UP	DOWN	True	True	11.1836061955286
HHEX	1.69733846153846	0.000102506270489	-1.7421802955665	1.1316805736802e-41	UP	DOWN	True	True	3.4395187571049597
HIVEP3	1.50842307692308	0.0005703796312245	-1.34100541871921	3.90031357875541e-76	UP	DOWN	True	True	2.84942849564229
HPGDS	1.93493076923077	0.0003883670548078	-7.93480098522167	4.40443969880651e-119	UP	DOWN	True	True	9.86973175445244
HS3ST1	2.86347692307692	4.49067271226441e-06	-5.97225024630541	5.32534758049021e-112	UP	DOWN	True	True	8.83572716938233
HS6ST2	3.31974230769231	0.0005505745207195	-3.23555221674876	5.13624684328958e-46	UP	DOWN	True	True	6.55529452444107
ID4	2.70305	0.0002518238853936	-6.05036354679803	1.0564204481818699e-202	UP	DOWN	True	True	8.75341354679803
